name,url
NRK P1,http://lyd.nrk.no/nrk_radio_p1_ostlandssendingen_mp3_h
NRK P1+,http://lyd.nrk.no/nrk_radio_p1pluss_mp3_h
NRK P2,http://lyd.nrk.no/nrk_radio_p2_mp3_h
NRK P3,http://lyd.nrk.no/nrk_radio_p3_mp3_h
NRK P3 Musikk,http://lyd.nrk.no/nrk_radio_p3musikk_mp3_h
NRK P13,http://lyd.nrk.no/nrk_radio_p13_mp3_h
NRK mP3,http://lyd.nrk.no/nrk_radio_mp3_mp3_h
NRK Nyheter,http://lyd.nrk.no/nrk_radio_alltid_nyheter_mp3_h
NRK Sport,http://lyd.nrk.no/nrk_radio_sport_mp3_h
NRK Super,http://lyd.nrk.no/nrk_radio_super_mp3_h
NRK Klassisk,http://lyd.nrk.no/nrk_radio_klassisk_mp3_h
NRK Jazz,http://lyd.nrk.no/nrk_radio_jazz_mp3_h
NRK Folkemusikk,http://lyd.nrk.no/nrk_radio_folkemusikk_mp3_h
NRK Sápmi,http://lyd.nrk.no/nrk_radio_sami_mp3_h
NRK P1 Buskerud,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk13
NRK P1 Finnmark,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk2
NRK P1 Hordaland,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk8
NRK P1 Innlandet,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk14
NRK P1 Møre og Romsdal,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk6
NRK P1 Nordland,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk4
NRK P1 Rogaland,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk9
NRK P1 Sogn og Fjordane,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk7
NRK P1 Sørlandet,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk10
NRK P1 Telemark,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk11
NRK P1 Troms,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk3
NRK P1 Trøndelag,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk5
NRK P1 Vestfold,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk12
NRK P1 Østfold,http://lyd.nrk.no/icecast/mp3/high/s0w7hwn47m/p1_dk15
P4,http://p4.p4groupaudio.com/P04_MH
P5 Hits,http://p5.p4groupaudio.com/P05_MH
P6 Rock,http://p6.p4groupaudio.com/P06_MH
P7 Klem,http://p7.p4groupaudio.com/P07_MH
P8 Pop,http://p8.p4groupaudio.com/P08_MH
P9 Retro,http://p9.p4groupaudio.com/P09_MH
P10 Country,http://p10.p4groupaudio.com/P10_MH
P11 Dance,http://p11.p4groupaudio.com/P11_MH
P12 Hitmix,http://p12.p4groupaudio.com/P12_MH
NRJ,http://nrj.p4groupaudio.com/NRJ_MH
Radio Norge,http://live-bauerno.sharp-stream.com/radionorge_no_mp3
Radio Rock,http://live-bauerno.sharp-stream.com/radiorock_no_mp3
Topp 40,http://live-bauerno.sharp-stream.com/top40_no_mp3
Radio Vinyl,http://live-bauerno.sharp-stream.com/vinyl_no_mp3
Norsk Pop,http://live-bauerno.sharp-stream.com/norskpop_no_mp3
P24-7 Mix,http://live-bauerno.sharp-stream.com/p247mix_no_mp3
Radio Toten,http://lyd.radioene.no/radiototen-mp3
Radio Bardufoss,http://stream.bardufoss.no/radiobardufoss192
Radio Tromsø,http://stream.radiotromso.no/radiotromso
Radio Tønsberg,http://audio.radiotonsberg.no/tonsberg_hq
Hamar Radioen,http://lyd.radioene.no/hamar.mp3
Elverums Radioen,http://lyd.radioene.no/elverum.mp3
Radio Kongsvinger,http://lyd.radioene.no/kongsvinger.mp3
Østerdals Radioen,http://lyd.radioene.no/osterdal.mp3
Trysil Radioen,http://lyd.radioene.no/trysil.mp3
Scansat Radio,http://audio.radiotonsberg.no/scansat_hq
P7 Kristen Riksradio,http://radio.p7.no/listen/p7_kristen_riksradio/kristen_riksradio



